het,	aob,	eps,	dead,	
3500,	2.354363e-13,	4.557456e-15,	7.853982e-23,	7.853982e-23,	
3600,	2.663469e-13,	4.606181e-15,	7.853982e-23,	7.853982e-23,	
3700,	3.013152e-13,	4.655429e-15,	7.853982e-23,	7.853982e-23,	
3800,	3.408735e-13,	4.705207e-15,	7.853982e-23,	7.853982e-23,	
3900,	3.856239e-13,	4.755520e-15,	7.853982e-23,	7.853982e-23,	
4000,	4.362465e-13,	4.806373e-15,	7.853982e-23,	7.853982e-23,	
4100,	4.935111e-13,	4.857774e-15,	7.853982e-23,	7.853982e-23,	
4200,	5.582826e-13,	4.909725e-15,	7.853982e-23,	7.853982e-23,	
4300,	6.315403e-13,	4.962231e-15,	7.853982e-23,	7.853982e-23,	
4400,	7.143908e-13,	5.015297e-15,	7.853982e-23,	7.853982e-23,	
4500,	8.080837e-13,	5.068929e-15,	7.853982e-23,	7.853982e-23,	
4600,	9.140297e-13,	5.123134e-15,	7.853982e-23,	7.853982e-23,	
4700,	1.033820e-12,	5.177916e-15,	7.853982e-23,	7.853982e-23,	
4800,	1.169250e-12,	5.233282e-15,	7.853982e-23,	7.853982e-23,	
4900,	1.322341e-12,	5.289237e-15,	7.853982e-23,	7.853982e-23,	
5000,	1.495370e-12,	5.345788e-15,	7.853982e-23,	7.853982e-23,	
5100,	1.690903e-12,	5.402940e-15,	7.853982e-23,	7.853982e-23,	
5200,	1.911823e-12,	5.460700e-15,	7.853982e-23,	7.853982e-23,	
5300,	-nan,	5.505731e-15,	7.853982e-23,	7.853982e-23,	
