Total,het,aob,
571140,6.076329e-11,5.517520e-11,5.588086e-12,
576150,6.076329e-11,5.517520e-11,5.588086e-12,
581160,6.076329e-11,5.517520e-11,5.588086e-12,
586170,6.076329e-11,5.517520e-11,5.588086e-12,
591180,6.076329e-11,5.517520e-11,5.588086e-12,
596190,6.076329e-11,5.517520e-11,5.588086e-12,
601200,6.076329e-11,5.517520e-11,5.588086e-12,
606210,6.076329e-11,5.517520e-11,5.588086e-12,
Total,het,aob,
5010,1.633720e-12,8.796462e-13,7.540737e-13,
10020,1.872721e-12,1.068239e-12,8.044814e-13,
15030,2.153303e-12,1.296202e-12,8.571009e-13,
20040,2.483801e-12,1.571525e-12,9.122752e-13,
25050,2.873647e-12,1.903482e-12,9.701647e-13,
30060,3.333834e-12,2.302890e-12,1.030944e-12,
35070,3.876922e-12,2.782164e-12,1.094758e-12,
40080,4.515949e-12,3.354471e-12,1.161478e-12,
45090,5.264866e-12,4.033766e-12,1.231101e-12,
50100,6.138305e-12,4.834525e-12,1.303780e-12,
55110,7.146162e-12,5.766865e-12,1.379297e-12,
60120,8.290126e-12,6.832607e-12,1.457519e-12,
65130,9.557177e-12,8.018905e-12,1.538272e-12,
70140,1.091985e-11,9.298259e-12,1.621588e-12,
75150,1.232924e-11,1.062212e-11,1.707120e-12,
80160,1.374946e-11,1.195487e-11,1.794591e-12,
85170,1.515906e-11,1.327551e-11,1.883559e-12,
90180,1.656021e-11,1.458614e-11,1.974070e-12,
95190,1.794805e-11,1.588224e-11,2.065812e-12,
100200,1.932235e-11,1.716373e-11,2.158625e-12,
105210,2.069367e-11,1.844122e-11,2.252452e-12,
110220,2.203444e-11,1.968788e-11,2.346563e-12,
115230,2.338135e-11,2.093971e-11,2.441642e-12,
120240,2.467928e-11,2.214282e-11,2.536465e-12,
125250,2.600096e-11,2.336865e-11,2.632308e-12,
130260,2.726069e-11,2.453317e-11,2.727520e-12,
135270,2.852548e-11,2.570245e-11,2.823029e-12,
140280,2.977155e-11,2.685302e-11,2.918533e-12,
145290,3.099972e-11,2.798570e-11,3.014020e-12,
150300,3.222507e-11,2.911566e-11,3.109413e-12,
155310,3.339444e-11,3.019060e-11,3.203843e-12,
160320,3.457050e-11,3.127228e-11,3.298225e-12,
165330,3.574418e-11,3.235150e-11,3.392682e-12,
170340,3.685990e-11,3.337429e-11,3.485615e-12,
175350,3.800605e-11,3.442675e-11,3.579305e-12,
180360,3.903677e-11,3.536731e-11,3.669466e-12,
185370,4.014543e-11,3.638449e-11,3.760945e-12,
190380,4.123540e-11,3.738271e-11,3.852693e-12,
195390,4.228989e-11,3.834626e-11,3.943626e-12,
200400,4.333778e-11,3.930435e-11,4.033434e-12,
205410,4.434134e-11,4.021864e-11,4.122697e-12,
210420,4.536092e-11,4.114923e-11,4.211691e-12,
215430,4.636708e-11,4.206734e-11,4.299735e-12,
220440,4.734068e-11,4.295333e-11,4.387356e-12,
225450,4.831001e-11,4.383583e-11,4.474181e-12,
230460,4.926438e-11,4.470430e-11,4.560081e-12,
235470,5.020598e-11,4.556021e-11,4.645776e-12,
240480,5.113504e-11,4.640490e-11,4.730140e-12,
245490,5.203113e-11,4.721702e-11,4.814112e-12,
250500,5.295019e-11,4.805194e-11,4.898252e-12,
255510,5.382373e-11,4.884378e-11,4.979953e-12,
260520,5.470557e-11,4.964421e-11,5.061361e-12,
265530,5.556561e-11,5.042279e-11,5.142820e-12,
270540,5.640723e-11,5.118371e-11,5.223527e-12,
275550,5.726098e-11,5.195772e-11,5.303258e-12,
280560,5.805014e-11,5.266785e-11,5.382295e-12,
285570,5.886563e-11,5.340474e-11,5.460884e-12,
290580,5.965769e-11,5.411897e-11,5.538720e-12,
295590,6.044272e-11,5.482628e-11,5.616442e-12,
300600,6.121269e-11,5.551978e-11,5.692909e-12,
305610,6.169322e-11,5.595451e-11,5.738713e-12,
Total,het,aob,
5010,1.633720e-12,8.796462e-13,7.540737e-13,
10020,1.872721e-12,1.068239e-12,8.044814e-13,
15030,2.153303e-12,1.296202e-12,8.571009e-13,
20040,2.483801e-12,1.571525e-12,9.122752e-13,
25050,2.873647e-12,1.903482e-12,9.701647e-13,
30060,3.333834e-12,2.302890e-12,1.030944e-12,
Total,het,aob,
5010,1.633698e-12,8.796463e-13,7.540521e-13,
10020,1.872685e-12,1.068237e-12,8.044478e-13,
15030,2.153253e-12,1.296193e-12,8.570603e-13,
20040,2.483683e-12,1.571476e-12,9.122071e-13,
25050,2.873397e-12,1.903359e-12,9.700380e-13,
30060,3.333528e-12,2.302730e-12,1.030798e-12,
35070,3.876565e-12,2.781970e-12,1.094595e-12,
40080,4.515528e-12,3.354241e-12,1.161287e-12,
45090,5.264666e-12,4.033754e-12,1.230912e-12,
50100,6.138092e-12,4.834579e-12,1.303513e-12,
55110,7.145861e-12,5.766920e-12,1.378941e-12,
60120,8.289800e-12,6.832749e-12,1.457051e-12,
65130,9.557407e-12,8.019748e-12,1.537659e-12,
70140,1.091790e-11,9.297220e-12,1.620683e-12,
75150,1.232066e-11,1.061494e-11,1.705724e-12,
80160,1.373985e-11,1.194704e-11,1.792801e-12,
85170,1.515452e-11,1.327295e-11,1.881569e-12,
90180,1.655998e-11,1.458822e-11,1.971758e-12,
95190,1.794776e-11,1.588474e-11,2.063018e-12,
100200,1.931927e-11,1.716408e-11,2.155194e-12,
105210,2.067754e-11,1.842939e-11,2.248148e-12,
110220,2.202087e-11,1.967930e-11,2.341569e-12,
115230,2.335286e-11,2.091717e-11,2.435690e-12,
120240,2.469189e-11,2.216122e-11,2.530664e-12,
125250,2.598164e-11,2.335634e-11,2.625303e-12,
130260,2.727113e-11,2.455103e-11,2.720099e-12,
135270,2.853902e-11,2.572388e-11,2.815143e-12,
140280,2.977953e-11,2.686982e-11,2.909708e-12,
145290,3.101852e-11,2.801413e-11,3.004394e-12,
150300,3.222300e-11,2.912432e-11,3.098684e-12,
155310,3.342216e-11,3.022981e-11,3.192353e-12,
160320,3.458109e-11,3.129540e-11,3.285690e-12,
165330,3.574228e-11,3.236358e-11,3.378698e-12,
170340,3.687629e-11,3.340527e-11,3.471021e-12,
175350,3.800569e-11,3.444226e-11,3.563434e-12,
180360,3.906101e-11,3.540759e-11,3.653413e-12,
185370,4.016104e-11,3.641740e-11,3.743638e-12,
190380,4.126761e-11,3.743289e-11,3.834715e-12,
195390,4.230576e-11,3.838158e-11,3.924172e-12,
200400,4.335619e-11,3.934308e-11,4.013108e-12,
205410,4.436708e-11,4.026563e-11,4.101442e-12,
210420,4.536981e-11,4.118083e-11,4.188977e-12,
