aob	eps	comm	
1.951903e-16	1.896462e-16	1.835946e-16	
1.953818e-16	1.896272e-16	1.837316e-16	
1.955439e-16	1.896797e-16	1.838696e-16	
1.957357e-16	1.896607e-16	1.840068e-16	
1.958981e-16	1.897132e-16	1.841450e-16	
1.960902e-16	1.896942e-16	1.842824e-16	
1.962529e-16	1.897467e-16	1.844208e-16	
1.964454e-16	1.897277e-16	1.845584e-16	
1.966084e-16	1.897803e-16	1.846970e-16	
1.968012e-16	1.897613e-16	1.848348e-16	
1.969645e-16	1.898140e-16	1.849736e-16	
1.971577e-16	1.897950e-16	1.851116e-16	
1.973212e-16	1.898477e-16	1.852507e-16	
1.975148e-16	1.898287e-16	1.853889e-16	
1.976786e-16	1.898814e-16	1.855281e-16	
1.978726e-16	1.898624e-16	1.856665e-16	
1.980367e-16	1.899152e-16	1.858060e-16	
1.982310e-16	1.898962e-16	1.859446e-16	
1.983954e-16	1.899490e-16	1.860842e-16	
1.985900e-16	1.899300e-16	1.862231e-16	
1.987547e-16	1.899828e-16	1.863629e-16	
1.989497e-16	1.899638e-16	1.865020e-16	
1.991147e-16	1.900167e-16	1.866420e-16	
1.993101e-16	1.899977e-16	1.867813e-16	
1.994754e-16	1.900507e-16	1.869215e-16	
1.996711e-16	1.900317e-16	1.870610e-16	
1.998367e-16	1.900847e-16	1.872015e-16	
2.000327e-16	1.900656e-16	1.873411e-16	
2.001986e-16	1.901187e-16	1.874818e-16	
2.003950e-16	1.900997e-16	1.876217e-16	
2.005612e-16	1.901528e-16	1.877626e-16	
2.007580e-16	1.901337e-16	1.879027e-16	
2.009245e-16	1.901869e-16	1.880438e-16	
2.011216e-16	1.901678e-16	1.881841e-16	
2.012884e-16	1.902210e-16	1.883254e-16	
2.014858e-16	1.902020e-16	1.884659e-16	
2.016530e-16	1.902552e-16	1.886074e-16	
2.018508e-16	1.902362e-16	1.887481e-16	
2.020182e-16	1.902895e-16	1.888899e-16	
2.022164e-16	1.902704e-16	1.890308e-16	
2.023841e-16	1.903238e-16	1.891727e-16	
2.025826e-16	1.903047e-16	1.893139e-16	
2.027506e-16	1.903581e-16	1.894560e-16	
2.029495e-16	1.903390e-16	1.895974e-16	
2.031178e-16	1.903924e-16	1.897398e-16	
2.033171e-16	1.903734e-16	1.898813e-16	
2.034857e-16	1.904269e-16	1.900239e-16	
2.036853e-16	1.904078e-16	1.901656e-16	
2.038542e-16	1.904613e-16	1.903085e-16	
2.040542e-16	1.904422e-16	1.904504e-16	
2.042234e-16	1.904958e-16	1.905934e-16	
2.044238e-16	1.904767e-16	1.907356e-16	
2.045933e-16	1.905303e-16	1.908788e-16	
2.047940e-16	1.905113e-16	1.910212e-16	
2.049638e-16	1.905649e-16	1.911647e-16	
2.051649e-16	1.905459e-16	1.913073e-16	
2.053350e-16	1.905995e-16	1.914509e-16	
2.055365e-16	2.015763e-16	1.915938e-16	
2.057069e-16	2.016290e-16	1.917376e-16	
2.059087e-16	2.016088e-16	1.918807e-16	
2.060795e-16	2.016615e-16	1.920247e-16	
2.062816e-16	2.016413e-16	1.921680e-16	
2.064527e-16	2.016940e-16	1.923123e-16	
2.066552e-16	2.016738e-16	1.924557e-16	
2.068266e-16	2.017266e-16	1.926003e-16	
2.070295e-16	2.017064e-16	1.927439e-16	
2.072011e-16	2.017592e-16	1.928887e-16	
2.074044e-16	2.017390e-16	1.930325e-16	
2.075764e-16	2.017919e-16	1.931775e-16	
2.077800e-16	2.017717e-16	1.933216e-16	
2.079523e-16	2.018246e-16	1.934668e-16	
2.081563e-16	2.018044e-16	1.936111e-16	
2.083289e-16	2.018574e-16	1.937564e-16	
2.085333e-16	2.018372e-16	1.939010e-16	
2.087062e-16	2.018902e-16	1.940466e-16	
2.089109e-16	2.018700e-16	1.941913e-16	
2.090842e-16	2.019231e-16	1.943371e-16	
2.092893e-16	2.019029e-16	1.944821e-16	
2.094628e-16	2.019560e-16	1.946281e-16	
2.096683e-16	2.019358e-16	1.947733e-16	
2.098421e-16	2.019889e-16	1.949195e-16	
2.100480e-16	2.019687e-16	1.950649e-16	
2.102221e-16	2.020219e-16	1.952114e-16	
2.104283e-16	2.020017e-16	1.953570e-16	
2.106028e-16	2.020549e-16	1.955037e-16	
2.108094e-16	2.020347e-16	1.956495e-16	
2.109842e-16	2.020880e-16	1.957964e-16	
2.111912e-16	2.020678e-16	1.959425e-16	
2.113663e-16	2.021211e-16	1.960896e-16	
2.115736e-16	2.021009e-16	1.962358e-16	
2.117491e-16	2.021543e-16	1.963832e-16	
2.119568e-16	2.021340e-16	1.965297e-16	
2.121325e-16	2.021874e-16	1.966772e-16	
2.123406e-16	2.021672e-16	1.968239e-16	
2.125167e-16	2.022207e-16	1.969717e-16	
2.127251e-16	2.022005e-16	1.971186e-16	
2.129015e-16	2.022540e-16	1.972666e-16	
2.131103e-16	2.022337e-16	1.974138e-16	
2.132870e-16	2.022873e-16	1.975620e-16	
2.134963e-16	2.022671e-16	1.977093e-16	
2.136733e-16	2.023207e-16	1.978578e-16	
2.138829e-16	2.023004e-16	1.980053e-16	
2.140602e-16	2.023541e-16	1.981540e-16	
2.142702e-16	2.023338e-16	1.983018e-16	
2.144478e-16	2.023875e-16	1.984507e-16	
2.146582e-16	2.077941e-16	1.985987e-16	
2.148361e-16	2.078473e-16	1.987478e-16	
2.150469e-16	2.078265e-16	1.988960e-16	
2.152252e-16	2.078797e-16	1.990454e-16	
aob	eps	comm	
1.370105e-16	1.368625e-16	1.369942e-16	
1.371244e-16	1.369109e-16	1.370973e-16	
1.372589e-16	1.368972e-16	1.371997e-16	
1.373731e-16	1.369456e-16	1.373029e-16	
1.375078e-16	1.369319e-16	1.374055e-16	
1.376222e-16	1.369803e-16	1.375088e-16	
1.377572e-16	1.369666e-16	1.376116e-16	
1.378717e-16	1.370151e-16	1.377151e-16	
1.380070e-16	1.370014e-16	1.378179e-16	
1.381217e-16	1.370499e-16	1.379216e-16	
1.382572e-16	1.370362e-16	1.380246e-16	
1.383722e-16	1.370848e-16	1.381285e-16	
1.385079e-16	1.370711e-16	1.382316e-16	
1.386231e-16	1.371197e-16	1.383356e-16	
1.387591e-16	1.371059e-16	1.384389e-16	
1.388744e-16	1.371546e-16	1.385431e-16	
1.390107e-16	1.371409e-16	1.386466e-16	
1.391263e-16	1.371896e-16	1.387509e-16	
1.392627e-16	1.371759e-16	1.388545e-16	
1.393785e-16	1.372246e-16	1.389589e-16	
1.395152e-16	1.372109e-16	1.390627e-16	
1.396313e-16	1.372597e-16	1.391673e-16	
1.397682e-16	1.372459e-16	1.392713e-16	
1.398844e-16	1.372948e-16	1.393760e-16	
1.400217e-16	1.372810e-16	1.394801e-16	
1.401381e-16	1.373299e-16	1.395851e-16	
1.402755e-16	1.373161e-16	1.396893e-16	
1.403922e-16	1.373651e-16	1.397944e-16	
1.405299e-16	1.373513e-16	1.398988e-16	
1.406467e-16	1.374003e-16	1.400040e-16	
1.407847e-16	1.373865e-16	1.401086e-16	
1.409017e-16	1.374355e-16	1.402140e-16	
1.410400e-16	1.374218e-16	1.403187e-16	
1.411572e-16	1.374708e-16	1.404242e-16	
1.412957e-16	1.374571e-16	1.405291e-16	
1.414132e-16	1.375062e-16	1.406348e-16	
1.415519e-16	1.374924e-16	1.407399e-16	
1.416696e-16	1.375415e-16	1.408457e-16	
1.418085e-16	1.375278e-16	1.409509e-16	
1.419264e-16	1.375769e-16	1.410569e-16	
1.420657e-16	1.375632e-16	1.411623e-16	
1.421838e-16	1.376124e-16	1.412685e-16	
1.423232e-16	1.375986e-16	1.413740e-16	
1.424416e-16	1.376479e-16	1.414803e-16	
1.425813e-16	1.376341e-16	1.415860e-16	
1.426998e-16	1.376834e-16	1.416925e-16	
1.428398e-16	1.376696e-16	1.417983e-16	
1.429586e-16	1.377190e-16	1.419049e-16	
1.430988e-16	1.377052e-16	1.420109e-16	
1.432178e-16	1.377546e-16	1.421177e-16	
1.433582e-16	1.377408e-16	1.422239e-16	
1.434774e-16	1.377902e-16	1.423308e-16	
1.436182e-16	1.377765e-16	1.424371e-16	
1.437375e-16	1.378259e-16	1.425443e-16	
1.438785e-16	1.378121e-16	1.426507e-16	
1.439982e-16	1.378617e-16	1.427580e-16	
